"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location","predicted_price","price_per_bedroom","normalized_price_per_bedroom","avg_price_per_bedroom"
11094735,1363,6581372,"Entire home/apt",NA,"Zurich",NA,"Kreis 6",13,5,2,1,NA,106,NA,"Cosy flat in central Zurich","2017-06-22 20:02:26.252276",47.384218,8.54832,"0101000020E6100000467C2766BD1821406B44300E2EB14740",94.2669967550105,1.28522304439724,0.564705882352941,0.93380865951242
8157223,1363,22569039,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",0,0,2,1,NA,104,NA,"Small but Great","2017-06-22 20:02:26.247904",47.369095,8.524924,"0101000020E610000061C5A9D6C20C2140FE0E45813EAF4740",94.2669967550105,1.26097355299352,0.552941176470588,0.958496967772351
18991898,1363,1314526,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",0,0,4,2,NA,107,NA,"PABS Résidences - Baurstrasse 38 (3L)","2017-06-22 20:02:24.273049",47.357177,8.554745,"0101000020E6100000323D6189071C214013F1D6F9B7AD4740",176.742953330869,0.648673895049552,0.255882352941177,1.15787197389607
18750385,1363,17710922,"Entire home/apt",NA,"Zurich",NA,"Kreis 6",0,0,5,3,NA,113,NA,"Wunderschöne 5 1/2 Zimmer Wohnung in Zürich","2017-06-22 20:02:24.263967",47.389788,8.542277,"0101000020E6100000F9BEB854A5152140C72FBC92E4B14740",259.218909906728,0.456698754770089,0.162745098039216,0.93380865951242
2470664,1363,10651736,"Entire home/apt",NA,"Zurich",NA,"Kreis 1",9,4.5,2,1,NA,115,NA,"Beautiful central flat with 2 rooms","2017-06-22 20:02:22.651053",47.373148,8.545803,"0101000020E61000000C1EA67D73172140AE484C50C3AF4740",94.2669967550105,1.39434575571399,0.617647058823529,1.34136192073295
17648054,1363,119947257,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",1,0,4,2,NA,114,NA,"Cosy, Renovated, 3.5 Rooms, Balcony","2017-06-22 20:02:22.647379",47.357126,8.51959,"0101000020E610000044A852B3070A21409146054EB6AD4740",176.742953330869,0.691110505006064,0.276470588235294,0.958496967772351
18019674,1363,13669323,"Entire home/apt",NA,"Zurich",NA,"Kreis 11",1,0,4,2,NA,105,NA,"!!FASCINATING FULLY EQUIPPED APARTMENT IN ZURICH!!","2017-06-22 20:02:21.740897",47.407151,8.553321,"0101000020E61000004A61DEE34C1B214050C422861DB44740",176.742953330869,0.636549149347691,0.25,0.874852422750352
17952644,1363,3384253,"Entire home/apt",NA,"Zurich",NA,"Kreis 12",0,0,2,1,NA,121,NA,"Comfortable cozy flat 15 minutes from city center!","2017-06-22 20:02:21.734515",47.40544,8.558552,"0101000020E6100000153B1A87FA1D2140C03E3A75E5B34740",94.2669967550105,1.46709422992515,0.652941176470588,0.816875024148895
15709553,1363,1697869,"Entire home/apt",NA,"Zurich",NA,"Kreis 7",0,0,3,2,NA,106,NA,"Stadtwohnung perfekt für Familien","2017-06-22 20:02:21.729715",47.360844,8.566973,"0101000020E6100000166EF9484A2221409A7ADD2230AE4740",176.742953330869,0.642611522198621,0.252941176470588,1.04123797875998
2421995,1363,8545368,"Entire home/apt",NA,"Zurich",NA,"Kreis 7",24,5,2,1,NA,106,NA,"Two room apartment in Zurich","2017-06-22 20:02:21.726653",47.363253,8.568416,"0101000020E6100000D80B056C07232140429605137FAE4740",94.2669967550105,1.28522304439724,0.564705882352941,1.04123797875998
15782017,1363,19946038,"Entire home/apt",NA,"Zurich",NA,"Kreis 4",46,4.5,2,1,NA,104,NA,"I am subletting my cosy flat perfectly situated","2017-06-22 20:02:21.708396",47.380139,8.514214,"0101000020E61000006B4AB20E4707214092770E65A8B04740",94.2669967550105,1.26097355299352,0.552941176470588,1.0475354856734
19359438,1363,135679340,"Entire home/apt",NA,"Zurich",NA,"Kreis 2",0,0,4,2,NA,111,NA,"Schöne, grosse Wohnung","2017-06-22 20:02:20.442730",47.334753,8.53726,"0101000020E6100000DEE522BE13132140739EB12FD9AA4740",176.742953330869,0.672923386453273,0.267647058823529,1.01930259240926
14921512,1363,23561865,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",9,5,4,1,NA,105,NA,"Executive 1BR flat, city center (Hammer 1)","2017-06-22 20:02:20.418174",47.360011,8.557964,"0101000020E6100000D1B01875AD1D2140A29927D714AE4740",94.2669967550105,1.27309829869538,0.558823529411765,1.15787197389607
18846705,1363,22529176,"Entire home/apt",NA,"Zurich",NA,"Kreis 4",0,0,2,1,NA,116,NA,"Studio City - Bahnhofstrasse / HB - 5 by walk","2017-06-22 20:02:17.324840",47.375737,8.534057,"0101000020E610000056664AEB6F112140D672672618B04740",94.2669967550105,1.40647050141585,0.623529411764706,1.0475354856734
834434,1363,4291379,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",2,0,2,1,NA,89,NA,"Cosy apartment in Zurich dowtown !","2017-06-22 20:02:15.721599",47.360398,8.560131,"0101000020E610000099F38C7DC91E21409CC58B8521AE4740",94.2669967550105,1.07910236746561,0.464705882352941,1.15787197389607
13946004,1363,6035071,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",5,5,3,1,NA,90,NA,"Sunny private apartment with balcony","2017-06-22 20:02:15.718672",47.362851,8.521581,"0101000020E6100000116E32AA0C0B21401329CDE671AE4740",94.2669967550105,1.09122711316747,0.470588235294118,0.958496967772351
15496087,1363,9575434,"Entire home/apt",NA,"Zurich",NA,"Kreis 10",6,4.5,2,2,NA,96,NA,"Bright flat close to the center","2017-06-22 20:02:13.846593",47.39213,8.521942,"0101000020E610000052D158FB3B0B2140E7E3DA5031B24740",176.742953330869,0.581987793689317,0.223529411764706,0.855560213272917
5250736,1363,5683493,"Entire home/apt",NA,"Zurich",NA,"Kreis 4",73,4,4,1,NA,95,NA,"2Roomed Apt in central trendy area","2017-06-22 20:02:11.772033",47.377551,8.518583,"0101000020E6100000EC8502B6830921403AC9569753B04740",94.2669967550105,1.15185084167677,0.5,1.0475354856734
7513119,1363,34646042,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",6,4.5,3,1,NA,101,NA,"Central cozy flat300m from the lake","2017-06-22 20:02:06.639738",47.35697,8.555125,"0101000020E61000004E621058391C214099D36531B1AD4740",94.2669967550105,1.22459931588794,0.535294117647059,1.15787197389607
12921976,1363,21593428,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",8,5,2,1,NA,95,NA,"Urban, zentral & cosy","2017-06-22 20:02:01.506712",47.364289,8.521825,"0101000020E61000006C787AA52C0B214072A59E05A1AE4740",94.2669967550105,1.15185084167677,0.5,0.958496967772351
16435353,1363,62954320,"Entire home/apt",NA,"Zurich",NA,"Kreis 10",1,0,4,1,NA,93,NA,"Elegant Zurich apartment with view","2017-06-22 20:01:59.135546",47.400146,8.506744,"0101000020E610000071E316F37303214007D0EFFB37B34740",94.2669967550105,1.12760135027305,0.488235294117647,0.855560213272917
17459960,1363,655247,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",2,0,3,2,NA,89,NA,"Sunny, quiet 2 bedroom flat with balcony","2017-06-22 20:01:54.093769",47.360954,8.517392,"0101000020E61000008F6CAE9AE708214021AE9CBD33AE4740",176.742953330869,0.539551183732805,0.202941176470588,0.958496967772351
8482561,1363,24396304,"Entire home/apt",NA,"Zurich",NA,"Kreis 11",8,5,2,1,NA,64,NA,"Apartment directly at the train station Oerlikon","2017-06-22 20:01:49.266345",47.41535,8.545973,"0101000020E61000007EFFE6C589172140613255302AB54740",94.2669967550105,0.77598372491909,0.317647058823529,0.874852422750352
15334712,1363,8560887,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",0,0,2,2,NA,73,NA,"stylish and central apartment","2017-06-22 20:01:49.259013",47.373327,8.510587,"0101000020E61000008786C5A86B0521405EDBDB2DC9AF4740",176.742953330869,0.442553218117918,0.155882352941176,0.958496967772351
