room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
17706352,1286,23561865,Entire home/apt,,Zurich,,Kreis 8,3,4.5,4,1.0,,135.0,,"Executive 1BR flat, city center (Hammer 3)",2017-05-18 17:42:31.701665,47.359254,8.559194,0101000020E6100000253D0CAD4E1E2140857AFA08FCAD4740
1407104,1286,7573264,Entire home/apt,,Zurich,,Kreis 5,11,4.5,4,2.0,,126.0,,Charmante 2.5 Wohnung mit Aussicht,2017-05-18 17:42:31.680012,47.392544,8.518973,0101000020E610000097033DD4B6092140DA1EBDE13EB24740
14974357,1286,35750643,Entire home/apt,,Zurich,,Kreis 11,1,0.0,2,1.0,,136.0,,cozy and modern roofflat,2017-05-18 17:42:30.036940,47.40265,8.544668,0101000020E6100000FF5A5EB9DE16214001DE02098AB34740
10600933,1286,16703823,Entire home/apt,,Zurich,,Kreis 5,3,3.5,2,0.0,,130.0,,◽STYLED JUNIOR STUDIOS Albertstrasse,2017-05-18 17:42:30.019490,47.385357,8.526385,0101000020E6100000BD35B055820D21407024D06053B14740
3068091,1286,15613619,Entire home/apt,,Zurich,,Kreis 2,60,4.5,3,1.0,,136.0,,Charming 2-roomed apartment,2017-05-18 17:42:30.005535,47.362503,8.52392,0101000020E6100000CE70033E3F0C2140D7D9907F66AE4740
14456737,1286,89056934,Entire home/apt,,Zurich,,Kreis 10,17,4.5,4,2.0,,144.0,,"beautiful central 3 1/2 room, near river",2017-05-18 17:42:30.003036,47.391945,8.527864,0101000020E6100000B378B130440E2140556AF6402BB24740
11476162,1286,4160343,Entire home/apt,,Zurich,,Kreis 2,0,0.0,4,2.0,,137.0,,Joli appartement,2017-05-18 17:42:29.998351,47.344971,8.529205,0101000020E610000065C22FF5F30E2140C2887D0228AC4740
9637066,1286,39734678,Entire home/apt,,Zurich,,Kreis 11,5,4.5,4,1.0,,126.0,,3 room Flat in Northern parts of Zurich,2017-05-18 17:42:29.995222,47.403812,8.552942,0101000020E61000006F2BBD361B1B2140BEDD921CB0B34740
15156589,1286,50348083,Entire home/apt,,Zurich,,Kreis 4,22,4.5,2,0.0,,126.0,,Swiss Star Center - Studio,2017-05-18 17:42:28.515539,47.377359,8.529282,0101000020E610000013B9E00CFE0E2140F6ECB94C4DB04740
1179802,1286,3072454,Entire home/apt,,Zurich,,Kreis 4,110,5.0,2,2.0,,125.0,,"Zurich-heart of the city, 2,5 rooms",2017-05-18 17:42:28.476655,47.379287,8.535195,0101000020E610000027F73B14051221402366F6798CB04740
4425760,1286,2963607,Entire home/apt,,Zurich,,Kreis 6,15,5.0,4,2.0,,126.0,,"Spacious, centrally located flat",2017-05-18 17:42:28.424250,47.388733,8.537979,0101000020E61000009CDEC5FB7113214020F0C000C2B14740
16317481,1286,12541428,Entire home/apt,,Zurich,,Kreis 2,2,0.0,2,1.0,,136.0,,Flat next to park and lake,2017-05-18 17:42:28.420806,47.358299,8.528115,0101000020E6100000D80DDB16650E21404298DBBDDCAD4740
13089878,1286,30725752,Entire home/apt,,Zurich,,Kreis 3,0,0.0,4,0.0,,126.0,,In the middle of hip Wiedikon,2017-05-18 17:42:28.410659,47.375103,8.514799,0101000020E6100000EA060ABC93072140D5D0066003B04740
14391633,1286,88420059,Entire home/apt,,Zurich,,Kreis 6,13,4.5,2,0.0,,136.0,,"Central, cute and cozy flat in quiet area",2017-05-18 17:42:28.396170,47.38988,8.545028,0101000020E6100000FFCEF6E80D172140A7AE7C96E7B14740
4118772,1286,12686255,Entire home/apt,,Zurich,,Kreis 11,12,5.0,4,1.0,,126.0,,Top Modern in Centre Zurich Oerlikon,2017-05-18 17:42:26.113055,47.410336,8.547783,0101000020E61000000B9C6C03771821408C2FDAE385B44740
16699958,1286,16011521,Entire home/apt,,Zurich,,Kreis 7,2,0.0,2,1.0,,136.0,,Cozy apartment near city center,2017-05-18 17:42:24.621174,47.363814,8.565218,0101000020E61000009738F24064212140D9E9077591AE4740
5900671,1286,16320208,Entire home/apt,,Zurich,,Kreis 8,84,5.0,3,1.0,,136.0,,Modern apartment @ TOP location,2017-05-18 17:42:24.575456,47.36393,8.551016,0101000020E61000003E25E7C41E1A214043041C4295AE4740
